folder,class_id,label,make,model,body,year_start,year_end,matched
KIA_Picanto_5_doors_20152017,1890,KIA KIA Picanto 5 doors,KIA,KIA Picanto 5 doors,hatchback,2004,2024,True
KIA_Picanto_5_doors_20172020,1891,KIA KIA Picanto 5 doors,KIA,KIA Picanto 5 doors,hatchback,2004,2024,True
KIA_Picanto_5_doors_2020Present,1892,KIA KIA Picanto 5 doors,KIA,KIA Picanto 5 doors,hatchback,2004,2024,True
KIA_Picanto__3_doors_20112015,1893,KIA KIA Picanto 3 doors,KIA,KIA Picanto 3 doors,hatchback,2004,2024,True
KIA_Pro_ceed_20072013,1894,KIA KIA Pro ceed,KIA,KIA Pro ceed,hatchback,2007,2024,True
KIA_Pro_ceed_20132018,1895,KIA KIA Pro ceed,KIA,KIA Pro ceed,hatchback,2007,2024,True
KIA_Rio_20162018,1896,KIA KIA Rio,KIA,KIA Rio,hatchback,2005,2024,True
KIA_Rio_2020Present,1897,KIA KIA Rio,KIA,KIA Rio,hatchback,2005,2024,True
KIA_Rio_5_doors_20112016,1898,KIA KIA Rio 5 doors,KIA,KIA Rio 5 doors,hatchback,2005,2024,True
KIA_Rio_Hatchback_20052008,1899,KIA KIA Rio Hatchback,KIA,KIA Rio Hatchback,hatchback,2005,2024,True
KIA_Rio_Hatchback_20092011,1900,KIA KIA Rio Hatchback,KIA,KIA Rio Hatchback,hatchback,2005,2024,True
KIA_Rio_Sedan_20052008,1901,KIA KIA Rio Sedan,KIA,KIA Rio Sedan,other,2005,2024,True
KIA_Rio_Sedan_20092011,1902,KIA KIA Rio Sedan,KIA,KIA Rio Sedan,other,2005,2024,True
KIA_Rondo_20082013,1903,KIA KIA Rondo,KIA,KIA Rondo,van,2008,2024,True
KIA_Rondo_2013Present,1904,KIA KIA Rondo,KIA,KIA Rondo,van,2008,2024,True
KIA_Sorento_20022006,1905,KIA KIA Sorento,KIA,KIA Sorento,suv,2002,2024,True
KIA_Sorento_20062009,1906,KIA KIA Sorento,KIA,KIA Sorento,suv,2002,2024,True
KIA_Sorento_20142017,1907,KIA KIA Sorento,KIA,KIA Sorento,suv,2002,2024,True
KIA_Sorento_20172020,1908,KIA KIA Sorento,KIA,KIA Sorento,suv,2002,2024,True
KIA_Sorento_2020Present,1909,KIA KIA Sorento,KIA,KIA Sorento,suv,2002,2024,True
KIA_Sorento_US_2018Present,1910,KIA KIA Sorento US,KIA,KIA Sorento US,suv,2002,2024,True
KIA_Soul_20082013,1911,KIA KIA Soul,KIA,KIA Soul,hatchback,2008,2024,True
KIA_Soul_20132018,1912,KIA KIA Soul,KIA,KIA Soul,hatchback,2008,2024,True
KIA_Soul_20182022,1913,KIA KIA Soul,KIA,KIA Soul,hatchback,2008,2024,True
KIA_Soul_2022Present,1914,KIA KIA Soul,KIA,KIA Soul,hatchback,2008,2024,True
KIA_Soul_EV_2018Present,1915,KIA KIA Soul EV,KIA,KIA Soul EV,hatchback,2008,2024,True
KIA_Sportage_20082010,1916,KIA KIA Sportage,KIA,KIA Sportage,suv,2004,2024,True
KIA_Sportage_20102013,1917,KIA KIA Sportage,KIA,KIA Sportage,suv,2004,2024,True
KIA_Sportage_20132015,1918,KIA KIA Sportage,KIA,KIA Sportage,suv,2004,2024,True
KIA_Sportage_20152018,1919,KIA KIA Sportage,KIA,KIA Sportage,suv,2004,2024,True
KIA_Sportage_20182021,1920,KIA KIA Sportage,KIA,KIA Sportage,suv,2004,2024,True
KIA_Sportage_2021Present,1921,KIA KIA Sportage,KIA,KIA Sportage,suv,2004,2024,True
KIA_Sportage_HEV__2022Present,1922,KIA KIA Sportage HEV,KIA,KIA Sportage HEV,suv,2004,2024,True
KIA_Stinger_20172021,1923,KIA KIA Stinger,KIA,KIA Stinger,other,2017,2024,True
KIA_Stinger_2021Present,1924,KIA KIA Stinger,KIA,KIA Stinger,other,2017,2024,True
KIA_Stonic_2017Present,1925,KIA KIA Stonic,KIA,KIA Stonic,suv,2017,2024,True
KIA_Stonic_GTLine_2020Present,1926,KIA KIA Stonic GTLine,KIA,KIA Stonic GTLine,suv,2020,2024,True
KIA_Telluride_20192022,1927,KIA KIA Telluride,KIA,KIA Telluride,suv,2019,2024,True
KIA_Telluride_2022Present,1928,KIA KIA Telluride,KIA,KIA Telluride,suv,2019,2024,True
KIA_Venga_20092014,1929,KIA KIA Venga,KIA,KIA Venga,hatchback,2009,2019,True
KIA_Venga_20142019,1930,KIA KIA Venga,KIA,KIA Venga,hatchback,2009,2019,True
KIA_XCeed_20192022,1931,KIA KIA XCeed,KIA,KIA XCeed,suv,2019,2024,True
KIA_XCeed_2022Present,1932,KIA KIA XCeed,KIA,KIA XCeed,suv,2019,2024,True
KIA_ceed_20072009,1933,KIA KIA ceed,KIA,KIA ceed,hatchback,2007,2024,True
KIA_ceed_20092012,1934,KIA KIA ceed,KIA,KIA ceed,hatchback,2007,2024,True
KIA_ceed_2015Present,1935,KIA KIA ceed,KIA,KIA ceed,hatchback,2007,2024,True
KIA_ceed_Sport_Wagon_20072012,1936,KIA KIA ceed Sport Wagon,KIA,KIA ceed Sport Wagon,wagon,2007,2024,True
KIA_eNiro_2018Present,1937,KIA KIA eNiro,KIA,KIA eNiro,suv,2016,2024,True
KIA_proceed_GT_2013Present,1938,KIA KIA proceed GT,KIA,KIA proceed GT,hatchback,2013,2024,True
KOENIGSEGG_Agera_20102014,1939,Koenigsegg KOENIGSEGG Agera,Koenigsegg,KOENIGSEGG Agera,other,2010,2016,True
KOENIGSEGG_Agera_R_20112014,1940,Koenigsegg KOENIGSEGG Agera R,Koenigsegg,KOENIGSEGG Agera R,other,2010,2016,True
KOENIGSEGG_CC8S_20022005,1941,Koenigsegg KOENIGSEGG CC8S,Koenigsegg,KOENIGSEGG CC8S,other,2002,2005,True
KOENIGSEGG_CCR_20042006,1942,Koenigsegg KOENIGSEGG CCR,Koenigsegg,KOENIGSEGG CCR,convertible,2004,2006,True
KOENIGSEGG_CCXR_20072010,1943,Koenigsegg KOENIGSEGG CCXR,Koenigsegg,KOENIGSEGG CCXR,other,2007,2010,True
KOENIGSEGG_CCX_20062010,1944,Koenigsegg KOENIGSEGG CCX,Koenigsegg,KOENIGSEGG CCX,other,2006,2010,True
KOENIGSEGG_Gemera_2020Present,1945,Koenigsegg KOENIGSEGG Gemera,Koenigsegg,KOENIGSEGG Gemera,other,2020,2024,True
KTM_XBow_GT_2013Present,1946,KTM KTM XBow GT,KTM,KTM XBow GT,convertible,2008,2024,True
KTM_XBow_R_2011Present,1947,KTM KTM XBow R,KTM,KTM XBow R,convertible,2008,2024,True
LADA_110_19982008,1948,Lada LADA 110,Lada,LADA 110,other,1998,2008,True
LADA_111_19982008,1949,Lada LADA 111,Lada,LADA 111,wagon,1998,2008,True
LADA_112_19992008,1950,Lada LADA 112,Lada,LADA 112,hatchback,1999,2008,True
LADA_Priora_20082018,1951,Lada LADA Priora,Lada,LADA Priora,hatchback,2008,2018,True
LAMBORGHINI_Aventador_LP_7004_20112016,1952,Lamborghini LAMBORGHINI Aventador LP 7004,Lamborghini,LAMBORGHINI Aventador LP 7004,other,2011,2024,True
LAMBORGHINI_Aventador_LP_7004_Roadster_2012Present,1953,Lamborghini LAMBORGHINI Aventador LP 7004 Roadster,Lamborghini,LAMBORGHINI Aventador LP 7004 Roadster,convertible,2012,2024,True
LAMBORGHINI_Aventador_SVJ_2018Present,1954,Lamborghini LAMBORGHINI Aventador SVJ,Lamborghini,LAMBORGHINI Aventador SVJ,other,2011,2024,True
LAMBORGHINI_Aventador_SVJ_Roadster_2019Present,1955,Lamborghini LAMBORGHINI Aventador SVJ Roadster,Lamborghini,LAMBORGHINI Aventador SVJ Roadster,convertible,2012,2024,True
LAMBORGHINI_Centenario_20162017,1956,Lamborghini LAMBORGHINI Centenario,Lamborghini,LAMBORGHINI Centenario,other,2016,2017,True
LAMBORGHINI_Countach_LP_400_19731981,1957,Lamborghini LAMBORGHINI Countach LP 400,Lamborghini,LAMBORGHINI Countach LP 400,other,1973,1990,True
LAMBORGHINI_Diablo_19901999,1958,Lamborghini LAMBORGHINI Diablo,Lamborghini,LAMBORGHINI Diablo,other,1990,2001,True
LAMBORGHINI_Diablo_VT_19931999,1959,Lamborghini LAMBORGHINI Diablo VT,Lamborghini,LAMBORGHINI Diablo VT,other,1990,2001,True
LAMBORGHINI_Espada_19681976,1960,Lamborghini LAMBORGHINI Espada,Lamborghini,LAMBORGHINI Espada,other,1968,1976,True
LAMBORGHINI_Gallardo_20032008,1961,Lamborghini LAMBORGHINI Gallardo,Lamborghini,LAMBORGHINI Gallardo,other,2003,2014,True
LAMBORGHINI_Gallardo_5604_Spyder_20082013,1962,Lamborghini LAMBORGHINI Gallardo 5604 Spyder,Lamborghini,LAMBORGHINI Gallardo 5604 Spyder,convertible,2006,2013,True
LAMBORGHINI_Gallardo_LP_5704_Spyder_Performante_20102013,1963,Lamborghini LAMBORGHINI Gallardo LP 5704 Spyder Performante,Lamborghini,LAMBORGHINI Gallardo LP 5704 Spyder Performante,convertible,2006,2013,True
LAMBORGHINI_Huracan_Evo_2019Present,1964,Lamborghini LAMBORGHINI Huracan Evo,Lamborghini,LAMBORGHINI Huracan Evo,other,2014,2024,True
LAMBORGHINI_Huracan_Evo_Spyder_2019Present,1965,Lamborghini LAMBORGHINI Huracan Evo Spyder,Lamborghini,LAMBORGHINI Huracan Evo Spyder,convertible,2015,2024,True
LAMBORGHINI_Huracan_LP6104_Spyder_20152019,1966,Lamborghini LAMBORGHINI Huracan LP6104 Spyder,Lamborghini,LAMBORGHINI Huracan LP6104 Spyder,convertible,2015,2024,True
LAMBORGHINI_Huracan_LP_5802_RWD_20162019,1967,Lamborghini LAMBORGHINI Huracan LP 5802 RWD,Lamborghini,LAMBORGHINI Huracan LP 5802 RWD,other,2014,2024,True
LAMBORGHINI_Huracan_LP_6104_20142019,1968,Lamborghini LAMBORGHINI Huracan LP 6104,Lamborghini,LAMBORGHINI Huracan LP 6104,other,2014,2024,True
LAMBORGHINI_Huracan_Performance_Spyder_2018Present,1969,Lamborghini LAMBORGHINI Huracan Performance Spyder,Lamborghini,LAMBORGHINI Huracan Performance Spyder,convertible,2015,2024,True
LAMBORGHINI_Huracan_STO_2020Present,1970,Lamborghini LAMBORGHINI Huracan STO,Lamborghini,LAMBORGHINI Huracan STO,other,2014,2024,True
LAMBORGHINI_LM_002_19861993,1971,Lamborghini LAMBORGHINI LM 002,Lamborghini,LAMBORGHINI LM 002,suv,1986,1993,True
LAMBORGHINI_LP7804_Ultimae_2022Present,1972,Lamborghini LAMBORGHINI LP7804 Ultimae,Lamborghini,LAMBORGHINI LP7804 Ultimae,other,2011,2024,True
LAMBORGHINI_LP7804_Ultimae_Roadster_2022Present,1973,Lamborghini LAMBORGHINI LP7804 Ultimae Roadster,Lamborghini,LAMBORGHINI LP7804 Ultimae Roadster,convertible,2012,2024,True
LAMBORGHINI_Murcielago_LP_640_Roadster_20072010,1974,Lamborghini LAMBORGHINI Murcielago LP 640 Roadster,Lamborghini,LAMBORGHINI Murcielago LP 640 Roadster,convertible,2004,2010,True
LAMBORGHINI_Reventon_20082009,1975,Lamborghini LAMBORGHINI Reventon,Lamborghini,LAMBORGHINI Reventon,other,2008,2009,True
LAMBORGHINI_Urus_2018Present,1976,Lamborghini LAMBORGHINI Urus,Lamborghini,LAMBORGHINI Urus,suv,2018,2024,True
LAMBORGHINI_Urus_Performante_2022Present,1977,Lamborghini LAMBORGHINI Urus Performante,Lamborghini,LAMBORGHINI Urus Performante,suv,2018,2024,True
LANCIA_Beta_Coupe_19731984,1978,Lancia LANCIA Beta Coupe,Lancia,LANCIA Beta Coupe,other,1973,1984,True
LANCIA_Delta_20082013,1979,Lancia LANCIA Delta,Lancia,LANCIA Delta,hatchback,1979,2014,True
LANCIA_Delta_20132014,1980,Lancia LANCIA Delta,Lancia,LANCIA Delta,hatchback,1979,2014,True
LANCIA_Flavia_20132015,1981,Lancia LANCIA Flavia,Lancia,LANCIA Flavia,convertible,1960,2015,True
LANCIA_Lybra_SW_19992005,1982,Lancia LANCIA Lybra SW,Lancia,LANCIA Lybra SW,wagon,1999,2005,True
LANCIA_Musa_20032012,1983,Lancia LANCIA Musa,Lancia,LANCIA Musa,van,2003,2012,True
LANCIA_Phedra_20022010,1984,Lancia LANCIA Phedra,Lancia,LANCIA Phedra,van,2002,2010,True
LANCIA_Thema_19841988,1985,Lancia LANCIA Thema,Lancia,LANCIA Thema,other,1984,2014,True
LANCIA_Thema_20112014,1986,Lancia LANCIA Thema,Lancia,LANCIA Thema,other,1984,2014,True
LANCIA_Thesis_20012009,1987,Lancia LANCIA Thesis,Lancia,LANCIA Thesis,other,2001,2009,True
LANCIA_Voyager_20112015,1988,Lancia LANCIA Voyager,Lancia,LANCIA Voyager,van,2011,2015,True
LANCIA_Ypsilon_20032006,1989,Lancia LANCIA Ypsilon,Lancia,LANCIA Ypsilon,hatchback,2003,2024,True
LANCIA_Ypsilon_20062011,1990,Lancia LANCIA Ypsilon,Lancia,LANCIA Ypsilon,hatchback,2003,2024,True
LANCIA_Ypsilon_20112015,1991,Lancia LANCIA Ypsilon,Lancia,LANCIA Ypsilon,hatchback,2003,2024,True
LANCIA_Ypsilon_20152018,1992,Lancia LANCIA Ypsilon,Lancia,LANCIA Ypsilon,hatchback,2003,2024,True
LANCIA_Ypsilon_846_2021Present,1993,Lancia LANCIA Ypsilon 846,Lancia,LANCIA Ypsilon 846,hatchback,2003,2024,True
LAND_ROVER_Defender_110_19912007,1994,Land Rover LAND ROVER Defender 110,Land Rover,LAND ROVER Defender 110,suv,1991,2024,True
LAND_ROVER_Defender_110_20072012,1995,Land Rover LAND ROVER Defender 110,Land Rover,LAND ROVER Defender 110,suv,1991,2024,True
LAND_ROVER_Defender_110_20122016,1996,Land Rover LAND ROVER Defender 110,Land Rover,LAND ROVER Defender 110,suv,1991,2024,True
LAND_ROVER_Defender_110_2019Present,1997,Land Rover LAND ROVER Defender 110,Land Rover,LAND ROVER Defender 110,suv,1991,2024,True
LAND_ROVER_Defender_130_2022Present,1998,Land Rover LAND ROVER Defender 130,Land Rover,LAND ROVER Defender 130,suv,2022,2024,True
LAND_ROVER_Defender_90_20072012,1999,Land Rover LAND ROVER Defender 90,Land Rover,LAND ROVER Defender 90,suv,1991,2024,True
LAND_ROVER_Defender_90_20122016,2000,Land Rover LAND ROVER Defender 90,Land Rover,LAND ROVER Defender 90,suv,1991,2024,True
LAND_ROVER_Defender_90_2019Present,2001,Land Rover LAND ROVER Defender 90,Land Rover,LAND ROVER Defender 90,suv,1991,2024,True
LAND_ROVER_Discovery_2017Present,2002,Land Rover LAND ROVER Discovery,Land Rover,LAND ROVER Discovery,suv,1990,2024,True
LAND_ROVER_Discovery_Sport_20142019,2003,Land Rover LAND ROVER Discovery Sport,Land Rover,LAND ROVER Discovery Sport,suv,2014,2024,True
LAND_ROVER_Discovery_Sport_2019Present,2004,Land Rover LAND ROVER Discovery Sport,Land Rover,LAND ROVER Discovery Sport,suv,2014,2024,True
LAND_ROVER_Discovery__LR4_2013Present,2005,Land Rover LAND ROVER Discovery LR4,Land Rover,LAND ROVER Discovery LR4,suv,1990,2024,True
LAND_ROVER_Freelander_20032007,2006,Land Rover LAND ROVER Freelander,Land Rover,LAND ROVER Freelander,suv,1998,2014,True
LAND_ROVER_Freelander__LR2_20062009,2007,Land Rover LAND ROVER Freelander LR2,Land Rover,LAND ROVER Freelander LR2,suv,1998,2014,True
LAND_ROVER_Freelander__LR2_20092014,2008,Land Rover LAND ROVER Freelander LR2,Land Rover,LAND ROVER Freelander LR2,suv,1998,2014,True
LAND_ROVER_Range_Rover_20092012,2009,Land Rover LAND ROVER Range Rover,Land Rover,LAND ROVER Range Rover,suv,1988,2024,True
LAND_ROVER_Range_Rover_20132017,2010,Land Rover LAND ROVER Range Rover,Land Rover,LAND ROVER Range Rover,suv,1988,2024,True
LAND_ROVER_Range_Rover_20172021,2011,Land Rover LAND ROVER Range Rover,Land Rover,LAND ROVER Range Rover,suv,1988,2024,True
LAND_ROVER_Range_Rover_Evoque_5_Door_20112015,2012,Land Rover LAND ROVER Range Rover Evoque 5 Door,Land Rover,LAND ROVER Range Rover Evoque 5 Door,suv,2011,2024,True
LAND_ROVER_Range_Rover_Evoque_5_Door_20152018,2013,Land Rover LAND ROVER Range Rover Evoque 5 Door,Land Rover,LAND ROVER Range Rover Evoque 5 Door,suv,2011,2024,True
LAND_ROVER_Range_Rover_Evoque_Convertible_2016Present,2014,Land Rover LAND ROVER Range Rover Evoque Convertible,Land Rover,LAND ROVER Range Rover Evoque Convertible,convertible,2016,2024,True
LAND_ROVER_Range_Rover_Evoque_Coupe_20112015,2015,Land Rover LAND ROVER Range Rover Evoque Coupe,Land Rover,LAND ROVER Range Rover Evoque Coupe,suv,2011,2024,True
LAND_ROVER_Range_Rover_Evoque__2018Present,2016,Land Rover LAND ROVER Range Rover Evoque,Land Rover,LAND ROVER Range Rover Evoque,suv,2011,2024,True
LAND_ROVER_Range_Rover_SWB_2021Present,2017,Land Rover LAND ROVER Range Rover SWB,Land Rover,LAND ROVER Range Rover SWB,suv,1988,2024,True
LAND_ROVER_Range_Rover_Sport_20052009,2018,Land Rover LAND ROVER Range Rover Sport,Land Rover,LAND ROVER Range Rover Sport,suv,2005,2024,True
LAND_ROVER_Range_Rover_Sport_20092013,2019,Land Rover LAND ROVER Range Rover Sport,Land Rover,LAND ROVER Range Rover Sport,suv,2005,2024,True
LAND_ROVER_Range_Rover_Sport_20132017,2020,Land Rover LAND ROVER Range Rover Sport,Land Rover,LAND ROVER Range Rover Sport,suv,2005,2024,True
LAND_ROVER_Range_Rover_Sport_20172022,2021,Land Rover LAND ROVER Range Rover Sport,Land Rover,LAND ROVER Range Rover Sport,suv,2005,2024,True
LAND_ROVER_Range_Rover_Sport_HST_2019Present,2022,Land Rover LAND ROVER Range Rover Sport HST,Land Rover,LAND ROVER Range Rover Sport HST,suv,2005,2024,True
LEXUS_CT_20112014,2023,Lexus LEXUS CT,Lexus,LEXUS CT,hatchback,2011,2024,True
LEXUS_CT_20142017,2024,Lexus LEXUS CT,Lexus,LEXUS CT,hatchback,2011,2024,True
LEXUS_CT_2017Present,2025,Lexus LEXUS CT,Lexus,LEXUS CT,hatchback,2011,2024,True
LEXUS_ES_20022006,2026,Lexus LEXUS ES,Lexus,LEXUS ES,other,2002,2024,True
LEXUS_ES_20122015,2027,Lexus LEXUS ES,Lexus,LEXUS ES,other,2002,2024,True
LEXUS_ES_20162018,2028,Lexus LEXUS ES,Lexus,LEXUS ES,other,2002,2024,True
LEXUS_ES_2021Present,2029,Lexus LEXUS ES,Lexus,LEXUS ES,other,2002,2024,True
LEXUS_ES__20182021,2030,Lexus LEXUS ES,Lexus,LEXUS ES,other,2002,2024,True
LEXUS_GS_19931997,2031,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GS_19972000,2032,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GS_20002005,2033,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GS_20052008,2034,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GS_20082011,2035,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GS_20122015,2036,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GS_20152020,2037,Lexus LEXUS GS,Lexus,LEXUS GS,other,1993,2020,True
LEXUS_GX_20102013,2038,Lexus LEXUS GX,Lexus,LEXUS GX,suv,2003,2024,True
LEXUS_GX_460_20132019,2039,Lexus LEXUS GX 460,Lexus,LEXUS GX 460,suv,2003,2024,True
LEXUS_HS_250h_20092013,2040,Lexus LEXUS HS 250h,Lexus,LEXUS HS 250h,other,2009,2013,True
LEXUS_IS_19982005,2041,Lexus LEXUS IS,Lexus,LEXUS IS,other,1998,2024,True
LEXUS_IS_20162020,2042,Lexus LEXUS IS,Lexus,LEXUS IS,other,1998,2024,True
LEXUS_IS_2020Present,2043,Lexus LEXUS IS,Lexus,LEXUS IS,other,1998,2024,True
LEXUS_IS_C_20092013,2044,Lexus LEXUS IS C,Lexus,LEXUS IS C,other,1998,2024,True
LEXUS_IS_F_2013Present,2045,Lexus LEXUS IS F,Lexus,LEXUS IS F,other,1998,2024,True
LEXUS_IS_Sport_Cross_20012005,2046,Lexus LEXUS IS Sport Cross,Lexus,LEXUS IS Sport Cross,other,1998,2024,True
LEXUS_LC_2016Present,2047,Lexus LEXUS LC,Lexus,LEXUS LC,other,2016,2024,True
LEXUS_LC_500_Convertible_2021Present,2048,Lexus LEXUS LC 500 Convertible,Lexus,LEXUS LC 500 Convertible,other,2016,2024,True
LEXUS_LS_20062009,2049,Lexus LEXUS LS,Lexus,LEXUS LS,other,1990,2024,True
LEXUS_LS_20092012,2050,Lexus LEXUS LS,Lexus,LEXUS LS,other,1990,2024,True
LEXUS_LS_20122017,2051,Lexus LEXUS LS,Lexus,LEXUS LS,other,1990,2024,True
LEXUS_LS_2020Present,2052,Lexus LEXUS LS,Lexus,LEXUS LS,other,1990,2024,True
LEXUS_LX_19961997,2053,Lexus LEXUS LX,Lexus,LEXUS LX,suv,1996,2024,True
LEXUS_LX_20082012,2054,Lexus LEXUS LX,Lexus,LEXUS LX,suv,1996,2024,True
LEXUS_LX_20122015,2055,Lexus LEXUS LX,Lexus,LEXUS LX,suv,1996,2024,True
LEXUS_LX_20152021,2056,Lexus LEXUS LX,Lexus,LEXUS LX,suv,1996,2024,True
LEXUS_LX_2021Present,2057,Lexus LEXUS LX,Lexus,LEXUS LX,suv,1996,2024,True
LEXUS_NX_20142017,2058,Lexus LEXUS NX,Lexus,LEXUS NX,suv,2014,2024,True
LEXUS_NX_20172021,2059,Lexus LEXUS NX,Lexus,LEXUS NX,suv,2014,2024,True
LEXUS_NX_2021Present,2060,Lexus LEXUS NX,Lexus,LEXUS NX,suv,2014,2024,True
LEXUS_RC_20142018,2061,Lexus LEXUS RC,Lexus,LEXUS RC,other,2014,2024,True
LEXUS_RC_2018Present,2062,Lexus LEXUS RC,Lexus,LEXUS RC,other,2014,2024,True
LEXUS_RC_F_2014Present,2063,Lexus LEXUS RC F,Lexus,LEXUS RC F,other,2014,2024,True
LEXUS_RX_19982003,2064,Lexus LEXUS RX,Lexus,LEXUS RX,suv,1998,2024,True
LEXUS_RX_20082012,2065,Lexus LEXUS RX,Lexus,LEXUS RX,suv,1998,2024,True
LEXUS_RX_20122016,2066,Lexus LEXUS RX,Lexus,LEXUS RX,suv,1998,2024,True
LEXUS_RX_20162019,2067,Lexus LEXUS RX,Lexus,LEXUS RX,suv,1998,2024,True
LEXUS_RX_2022Present,2068,Lexus LEXUS RX,Lexus,LEXUS RX,suv,1998,2024,True
LEXUS_RZ_450e_2022Present,2069,Lexus LEXUS RZ 450e,Lexus,LEXUS RZ 450e,suv,2022,2024,True
LEXUS_SC_20052010,2070,Lexus LEXUS SC,Lexus,LEXUS SC,other,1991,2010,True
LEXUS_UX_2018Present,2071,Lexus LEXUS UX,Lexus,LEXUS UX,suv,2018,2024,True
LEXUS_UX_300e_2020Present,2072,Lexus LEXUS UX 300e,Lexus,LEXUS UX 300e,suv,2018,2024,True
LINCOLN_Aviator_2019Present,2073,Lincoln LINCOLN Aviator,Lincoln,LINCOLN Aviator,suv,2002,2024,True
LINCOLN_Continental_19611969,2074,Lincoln LINCOLN Continental,Lincoln,LINCOLN Continental,other,1958,2024,True
LINCOLN_Continental_19952002,2075,Lincoln LINCOLN Continental,Lincoln,LINCOLN Continental,other,1958,2024,True
LINCOLN_Continental_2016Present,2076,Lincoln LINCOLN Continental,Lincoln,LINCOLN Continental,other,1958,2024,True
LINCOLN_Corsair_20192022,2077,Lincoln LINCOLN Corsair,Lincoln,LINCOLN Corsair,suv,2019,2024,True
LINCOLN_Corsair_2022Present,2078,Lincoln LINCOLN Corsair,Lincoln,LINCOLN Corsair,suv,2019,2024,True
LINCOLN_Corsair_Grand_Touring_2022Present,2079,Lincoln LINCOLN Corsair Grand Touring,Lincoln,LINCOLN Corsair Grand Touring,suv,2019,2024,True
LINCOLN_MKC_20142018,2080,Lincoln LINCOLN MKC,Lincoln,LINCOLN MKC,suv,2014,2024,True
LINCOLN_MKS_20092012,2081,Lincoln LINCOLN MKS,Lincoln,LINCOLN MKS,other,2009,2016,True
LINCOLN_MKS_20132016,2082,Lincoln LINCOLN MKS,Lincoln,LINCOLN MKS,other,2009,2016,True
LINCOLN_MKT_20092012,2083,Lincoln LINCOLN MKT,Lincoln,LINCOLN MKT,other,2009,2024,True
LINCOLN_MKT_2013Present,2084,Lincoln LINCOLN MKT,Lincoln,LINCOLN MKT,other,2009,2024,True
LINCOLN_MKX_20112016,2085,Lincoln LINCOLN MKX,Lincoln,LINCOLN MKX,suv,2006,2018,True
LINCOLN_MKX_20162018,2086,Lincoln LINCOLN MKX,Lincoln,LINCOLN MKX,suv,2006,2018,True
LINCOLN_MKZ_20102013,2087,Lincoln LINCOLN MKZ,Lincoln,LINCOLN MKZ,other,2006,2024,True
LINCOLN_MKZ_20132016,2088,Lincoln LINCOLN MKZ,Lincoln,LINCOLN MKZ,other,2006,2024,True
LINCOLN_Mark_LT_20052008,2089,Lincoln LINCOLN Mark LT,Lincoln,LINCOLN Mark LT,truck,2005,2014,True
LINCOLN_Nautilus_20182020,2090,Lincoln LINCOLN Nautilus,Lincoln,LINCOLN Nautilus,suv,2018,2024,True
LINCOLN_Nautilus_2020Present,2091,Lincoln LINCOLN Nautilus,Lincoln,LINCOLN Nautilus,suv,2018,2024,True
LINCOLN_Navigator_19982003,2092,Lincoln LINCOLN Navigator,Lincoln,LINCOLN Navigator,suv,1998,2024,True
LINCOLN_Navigator_20062014,2093,Lincoln LINCOLN Navigator,Lincoln,LINCOLN Navigator,suv,1998,2024,True
LINCOLN_Navigator_20142018,2094,Lincoln LINCOLN Navigator,Lincoln,LINCOLN Navigator,suv,1998,2024,True
LINCOLN_Navigator_2018Present,2095,Lincoln LINCOLN Navigator,Lincoln,LINCOLN Navigator,suv,1998,2024,True
LINCOLN_Navigator_L_20062014,2096,Lincoln LINCOLN Navigator L,Lincoln,LINCOLN Navigator L,suv,2006,2024,True
LINCOLN_Navigator_L_20142017,2097,Lincoln LINCOLN Navigator L,Lincoln,LINCOLN Navigator L,suv,2006,2024,True
LINCOLN_Navigator_L_2017Present,2098,Lincoln LINCOLN Navigator L,Lincoln,LINCOLN Navigator L,suv,2006,2024,True
LINCOLN_Town_Car_20072011,2099,Lincoln LINCOLN Town Car,Lincoln,LINCOLN Town Car,other,1998,2011,True
LOTUS_2_Eleven_20072015,2100,Lotus LOTUS 2 Eleven,Lotus,LOTUS 2 Eleven,convertible,2007,2015,True
LOTUS_Eletre_2022Present,2101,Lotus LOTUS Eletre,Lotus,LOTUS Eletre,suv,2022,2024,True
LOTUS_Elise_20082010,2102,Lotus LOTUS Elise,Lotus,LOTUS Elise,convertible,1997,2024,True
LOTUS_Elise_20102021,2103,Lotus LOTUS Elise,Lotus,LOTUS Elise,convertible,1997,2024,True
LOTUS_Elite_19571963,2104,Lotus LOTUS Elite,Lotus,LOTUS Elite,other,1957,1983,True
LOTUS_Emira_2021Present,2105,Lotus LOTUS Emira,Lotus,LOTUS Emira,other,2021,2024,True
LOTUS_Evija_2020Present,2106,Lotus LOTUS Evija,Lotus,LOTUS Evija,other,2020,2024,True
LOTUS_Evora_2008Present,2107,Lotus LOTUS Evora,Lotus,LOTUS Evora,other,2008,2024,True
LOTUS_Evora_400_20152018,2108,Lotus LOTUS Evora 400,Lotus,LOTUS Evora 400,other,2008,2024,True
